test,|V|,|E|,Max Deg,approximation,opt
hidden_001,112,425,49,32,32
hidden_002,49,107,8,15,15
hidden_003,2888,2981,769,5,5
hidden_004,212,244,21,15,15
hidden_005,3133,6726,129,738,
hidden_006,1174,1417,10,86,
hidden_007,1354,1710,13,111,111
hidden_008,2383,2886,9,146,
hidden_009,2736,3495,10,213,
hidden_010,2737,3497,10,212,
hidden_011,2746,3505,10,211,
hidden_012,300,409,11,36,36
hidden_013,3012,3566,10,171,
hidden_014,3374,4068,11,214,
hidden_015,89,206,15,21,20
hidden_016,56,739,45,34,34
hidden_017,80,167,48,7,7
hidden_018,90,231,52,12,12
hidden_019,100,391,61,22,22
hidden_020,150,684,80,35,34
hidden_021,160,620,79,29,29
hidden_022,180,1262,95,60,59
hidden_023,200,981,95,61,59
hidden_024,220,1399,107,82,
hidden_025,230,1954,112,89,
hidden_026,260,2676,144,102,
hidden_027,280,2755,154,118,
hidden_028,290,3800,157,133,
hidden_029,300,2488,153,104,
hidden_030,2352,6123,130,270,
hidden_031,2078,4771,115,215,
hidden_032,1816,3734,92,163,
hidden_033,1596,2983,89,133,
hidden_034,1405,2385,85,101,
hidden_035,1079,1541,78,61,60
hidden_036,620,694,58,20,19
hidden_037,347,353,44,8,7
hidden_038,12094,20988,146,1512,
hidden_039,12882,22367,148,1506,
hidden_040,1036,3231,19,165,
hidden_041,146,361,9,36,35
hidden_042,1351,3241,12,194,
hidden_043,6324,20717,1432,389,
hidden_044,14229,28510,200,1508,
hidden_045,3377,10461,55,397,
hidden_046,16816,29312,14,2671,
hidden_047,2431,4501,15,261,
hidden_048,2029,3719,13,249,
hidden_049,5848,11310,44,830,
hidden_050,5534,8472,507,208,
hidden_051,433,1314,41,101,
hidden_052,4749,7085,61,193,
hidden_053,445,1381,42,107,
hidden_054,454,1417,42,109,
hidden_055,4969,12498,15,1432,
hidden_056,65,125,6,19,19
hidden_057,112,168,3,29,29
hidden_058,10790,22469,2337,282,
hidden_059,10859,22747,2355,283,
hidden_060,10886,22493,2367,274,
hidden_061,11011,22677,2370,281,
hidden_062,11051,22724,2388,276,
hidden_063,11174,23409,2389,286,
hidden_064,6474,12572,1458,207,207
hidden_065,3015,5156,590,88,87
hidden_066,4450,8258,1000,150,147
hidden_067,292,958,13,138,
hidden_068,85,219,9,33,32
hidden_069,274,669,15,81,
hidden_070,1612,2106,12,160,
hidden_071,366,2562,14,170,169
hidden_072,58,87,3,15,15
hidden_073,70,105,3,18,18
hidden_074,70,105,3,18,18
hidden_075,70,105,3,18,18
hidden_076,406,609,3,102,102
hidden_077,76,152,4,27,26
hidden_078,118,531,9,69,
hidden_079,182,910,10,82,81
hidden_080,366,2562,14,170,169
hidden_081,144,576,14,72,
hidden_082,292,1124,34,128,
hidden_083,61,248,24,30,30
hidden_084,62,78,6,7,7
hidden_085,39,170,33,12,12
hidden_086,62,159,12,19,19
hidden_087,162,510,8,73,
hidden_088,198,597,11,90,90
hidden_089,209,767,16,103,
hidden_090,221,704,11,97,
hidden_091,245,608,12,79,
hidden_092,307,1108,8,155,
hidden_093,310,1069,10,153,
hidden_094,346,1440,18,159,
hidden_095,361,1296,8,177,
hidden_096,419,1572,12,228,
hidden_097,492,1332,10,186,
hidden_098,511,1495,14,187,
hidden_099,59,104,5,16,16
hidden_100,607,2262,13,257,
hidden_101,758,2618,10,342,
hidden_102,869,3208,13,428,
